gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration	true.onset.shape1	true.onset.shape2	true.durationshape1	true.durationshape2	true.mean.onset	true.variance.onset	true.mean.duration	true.variance.duration
5691	107.92570385862	293.150363827125	80.7360637646062	502.133032631422	-2002.97134419976	-30.4016093380016	-2033.37295353776	98.2179817801094	65.1687417149673	36.9532887700344	14.545944389648	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5701	116.136564810391	315.452899639157	42.0669730951931	261.632977742146	-2002.30286011669	-30.4016093380016	-2032.70446945469	98.2179817801094	60.5719592318874	36.9532887700344	27.8730842708422	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5711	107.511235433901	292.024574833797	28.7884714496623	179.048145274816	-2002.89930468638	-30.4016093380016	-2033.30091402439	98.2179817801094	65.4193476165574	36.9532887700344	40.6678078788047	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5721	126.097845357266	342.509966789032	31.9431302564097	198.6683536388	-2002.34701998244	-30.4016093380016	-2032.74862932044	98.2179817801094	55.7971795337574	36.9532887700344	36.6688527882027	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5731	140.346967207708	384.066794893274	30.0939558352122	187.167525920873	-2002.65831110455	-30.4016093380016	-2033.05992044256	97.6836359625307	49.6988017349358	37.0273036359231	39.0677406517779	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5741	149.725058375871	409.730430444748	25.6500584731247	159.528976862626	-2002.89097840506	-30.4016093380016	-2033.29258774306	97.6836359625307	46.5914509043573	37.0273036359231	45.7999094696249	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5751	146.89646136499	401.989827212431	26.7654866897005	166.466314738112	-2002.79610827142	-30.4016093380016	-2033.19771760942	97.6836359625307	47.4869712773116	37.0273036359231	43.9010651234092	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5761	134.668278489743	368.526767071528	31.6045610098387	197.410756799821	-2002.64902463502	-30.4016093380016	-2033.05063397302	97.6836359625306	51.7903430851745	36.8901801720187	36.9560754479031	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5771	134.668278489743	368.526767071529	31.362294268702	195.89749228397	-2002.64090634405	-30.4016093380016	-2033.04251568205	97.6836359625306	51.7903430851744	36.8901801720187	37.2403022342513	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5781	132.938532927575	363.793228133992	27.5803532203206	172.274451157063	-2002.56819842361	-30.4016093380016	-2032.96980776161	97.6836359625306	52.462865411222	36.8901801720187	42.3214344585743	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5791	127.098523179607	347.811736900711	25.5608222865339	158.249382902319	-2002.6740234915	-30.4016093380016	-2033.0756328295	97.6836359625306	54.8683997421207	37.1732683091445	46.2916592634256	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5801	132.041281591268	361.337853060307	21.6330582307347	133.932237270287	-2003.11310376598	-30.4016093380016	-2033.51471310398	97.6836359625306	52.8186417290179	37.1732683091445	54.642831411833	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5811	130.688400844362	357.635624343329	28.091579909512	173.917534248241	-2002.51049036096	-30.4016093380016	-2032.91209969896	97.6836359625306	53.3643006419877	37.1732683091445	42.1418076843493	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5821	122.422211533765	335.014766211044	20.4583520857334	126.659524348374	-2003.57804819821	-30.4016093380016	-2033.97965753621	97.6836359625306	56.9597036432762	37.1732683091445	57.7592067410721	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5831	113.376389535101	307.910282295286	19.7301452299483	122.151129263841	-2004.46257242389	-30.4016093380016	-2034.86418176189	98.2285577668896	62.0539926357816	37.0974909637737	59.6322181616513	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5841	119.692188838078	325.062879535984	30.1040136851128	186.376695364055	-2002.52195626093	-30.4016093380016	-2032.92356559894	98.2285577668896	58.7869345367972	37.0974909637737	39.1773935678228	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5851	139.671935206758	376.921951895858	25.4521229144085	164.437282095399	-2002.92993370197	-30.4016093380016	-2033.33154303997	98.6853650870628	50.7760188620632	35.6958979431203	43.1251954409044	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5861	132.864463719886	365.201013978505	22.6522678409625	146.348395754297	-2003.92112898827	-30.4016093380016	-2034.32273832627	97.3677787945896	52.2151021802025	35.8725026792541	48.9045215939059	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5871	135.458391137963	372.330873210583	22.6522678409625	146.348395754297	-2003.95361307594	-30.4016093380016	-2034.35522241394	97.3677787945896	51.2171870332184	35.8725026792541	48.9045215939059	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5881	118.118151304587	324.668217655593	22.6522678409625	146.348395754297	-2004.00097223464	-30.4016093380016	-2034.40258157264	97.3677787945896	58.719142216311	35.8725026792541	48.9045215939059	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5891	136.837998467601	371.995954052412	20.8203609733406	130.510250990277	-2003.16440993108	-30.4016093380016	-2033.56601926908	98.1575014664729	51.3747521357825	36.712711793116	55.4628411630741	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5901	136.11879060154	370.04077771767	16.7676581473673	113.75512738647	-2004.06872949622	-30.4016093380016	-2034.47033883422	98.1575014664729	51.6456645547032	34.2800207358399	60.6149461397467	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5911	136.11879060154	370.04077771767	27.5368916791899	177.003986583923	-2002.77163177172	-30.4016093380016	-2033.17324110972	98.1575014664729	51.6456645547032	35.9244227360261	40.3598478436	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5921	134.729041935517	366.262727127192	15.6722738105855	100.739581490414	-2003.97045322221	-30.4016093380016	-2034.37206256022	98.1575014664729	52.1773354770883	35.9244227360261	70.6538411395716	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5931	133.465234862215	362.827050464013	16.2000866122519	103.65695223181	-2003.87571171614	-30.4016093380016	-2034.27732105415	98.1575014664729	52.6704188140369	36.0668979457854	68.8694685422069	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5941	147.405725445391	400.724463116356	14.8636286751454	95.8711638615066	-2004.41941448583	-30.4016093380016	-2034.82102382384	98.1575014664729	47.6983299893314	35.8175395654224	74.0570185936117	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5951	146.693737441401	400.748425363522	18.9432211813082	122.184743821999	-2003.41738274029	-30.4016093380016	-2033.81899207829	97.8061570774395	47.6498795011572	35.8646995628908	58.3738057921423	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5961	147.408777988412	405.00098969249	18.4332571922267	120.933662480901	-2004.62664765816	-30.4016093380016	-2035.02825699616	97.3990814674554	47.0972599094887	35.394027275309	58.5518088009073	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5971	147.408777988412	405.00098969249	23.1841996728402	140.618130318935	-2003.26157251558	-30.4016093380016	-2033.66318185358	97.3990814674554	47.0972599094887	37.8756097560119	52.7964995806403	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5981	139.148497824611	382.306129270139	23.8291099779096	144.52967708794	-2003.15229642146	-30.4016093380016	-2033.55390575946	97.3990814674554	49.8877458696339	37.8756097560119	51.3760537439147	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5991	167.971682207514	461.496923471569	23.0913542562888	140.054999002418	-2003.7086520457	-30.4016093380016	-2034.11026138371	97.3990814674554	41.340811311046	37.8756097560119	53.0074898014083	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6001	170.32195214116	467.954216328621	32.3756129616473	193.364678769348	-2003.57511870228	-30.4016093380016	-2033.97672804028	97.3990814674554	40.7712424620898	38.3792529909333	38.7992633583702	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6011	167.741357732303	460.864114206858	31.0745299140661	185.59390680448	-2003.4769176014	-30.4016093380016	-2033.8785269394	97.3990814674554	41.3974859281969	38.3792529909333	40.4163158676051	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6021	167.741357732303	460.864114206858	32.43974099931	197.766231497285	-2003.60584089831	-30.4016093380016	-2034.00745023631	97.3990814674554	41.3974859281969	37.7092930918706	37.4949253667597	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6031	183.614438079	504.474904131363	33.1258673240859	200.150382332454	-2004.34881334787	-30.4016093380016	-2034.75042268587	97.3990814674554	37.8239541208293	38.0000644564721	37.2417061778256	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6041	183.614438079	504.474904131363	30.3262507165093	183.234769862337	-2004.20774422962	-30.4016093380016	-2034.60935356762	97.3990814674554	37.8239541208293	38.0000644564721	40.66371063399	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6051	141.909615870249	389.892214416498	32.5177065679439	196.475803590997	-2002.67392164354	-30.4016093380016	-2033.07553098154	97.3990814674554	48.9189079003161	38.0000644564721	37.9351889021666	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6061	157.347555045073	432.307467632339	27.7156204837751	167.461035273039	-2003.10180819739	-30.4016093380016	-2033.50341753539	97.3990814674554	44.1274223772278	38.0000644564721	44.4744417754135	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6071	149.65263333564	415.793757853725	28.3442882409449	171.259519724075	-2003.65891484851	-30.4016093380016	-2034.06052418652	96.6019272890107	45.772683007296	38.1132625363918	43.7524367925161	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6081	142.043511596313	394.652630888954	25.7406585516561	155.52808324077	-2003.69987842695	-30.4016093380016	-2034.10148776496	96.6019272890107	48.2201173783723	38.1132625363918	48.1536512625024	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6091	148.346949811818	405.810517414209	23.5846577090573	142.501272841107	-2003.52884954894	-30.4016093380016	-2033.93045888694	97.7098385994113	47.0440912200301	37.9559360913327	52.0965180654756	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6101	128.662833896452	351.963631619865	28.8711895463421	180.107191021525	-2002.49879100239	-30.4016093380016	-2032.90040034039	97.7098385994113	54.2264190188638	36.9271926248976	40.5120646164513	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6111	121.655788251096	332.795507014042	26.077139233821	162.677062188307	-2002.65677540736	-30.4016093380016	-2033.05838474536	97.7098385994113	57.3428570764265	36.9271926248976	44.8298781153165	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6121	128.643414325791	351.910508410876	28.5554329920468	178.137406369961	-2002.49934198643	-30.4016093380016	-2032.90095132443	97.7098385994113	54.2345878551671	36.9271926248976	40.957876774924	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6131	107.580151613398	295.980751743967	28.2845180086227	176.447356966495	-2003.66928496743	-30.4016093380016	-2034.07089430543	97.3006924412555	64.3841947537423	36.9837177843527	41.4749550194815	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6141	105.023785911917	288.947530181166	46.9781656897508	284.180579784767	-2003.39221891924	-30.4016093380016	-2033.79382825725	97.3006924412555	65.947391443919	37.9758124989453	26.2643585148735	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6151	105.023785911917	288.947530181166	54.0416744719633	325.393826335601	-2003.40152915479	-30.4016093380016	-2033.80313849279	97.3006924412555	65.947391443919	38.1274783320729	23.0078289904964	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6161	118.408767734362	325.773068372666	60.5903093254659	364.824235794164	-2003.16608891716	-30.4016093380016	-2033.56769825516	97.3006924412555	58.5094131856006	38.127478332073	20.5269614854218	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6171	118.508744970209	326.048131541656	113.932453533242	686.006075148876	-2004.37492565275	-30.4016093380016	-2034.77653499075	97.3006924412555	58.4601638188763	38.127478332073	10.9284228827107	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6181	116.746158212	317.826245133142	85.0128807984742	511.876562691986	-2003.00209691911	-30.4016093380016	-2033.40370625711	98.0558070861594	60.0943220509519	38.0199299879089	14.5573475894904	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6191	106.006423543333	288.588713074312	153.112828669119	921.917569514977	-2003.38783163388	-30.4016093380016	-2033.78944097188	98.0558070861594	66.167214559135	38.0199299879089	8.08869755321584	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6201	98.305623695074	267.624286169149	151.409336609507	911.660563143028	-2003.4734346869	-30.4016093380016	-2033.8750440249	98.0558070861594	71.3363167718213	38.0199299879089	8.17961719526297	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6211	100.987690421111	274.925864309176	130.120126129927	783.474719064342	-2003.33205300274	-30.4016093380016	-2033.73366234074	98.0558070861594	69.4467682433464	38.0199299879089	9.51643724509383	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6221	112.264101559952	305.624428319542	131.82505372103	793.740369007922	-2003.36849834464	-30.4016093380016	-2033.77010768264	98.0558070861594	62.4878133823817	38.0199299879089	9.39349152846994	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6231	112.264101559952	305.624428319542	133.218811529303	802.13241441825	-2003.37867667089	-30.4016093380016	-2033.7802860089	98.0558070861594	62.4878133823817	38.0199299879089	9.29532018305393	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6241	106.649598900234	290.339674405946	136.576797430885	810.043505603038	-2003.46308424548	-30.4016093380016	-2033.86469358348	98.0558070861595	65.7691803240959	38.5142626289499	9.28410915124731	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6251	97.6682113512413	265.889013891718	126.347741409525	749.374486015392	-2003.92046406544	-30.4016093380016	-2034.32207340344	98.0558070861595	71.8006021295708	38.5142626289499	10.0348891040959	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6261	98.6036082683233	268.435510448165	104.617580488116	620.49186421425	-2003.68137519791	-30.4016093380016	-2034.08298453591	98.0558070861595	71.1213209465752	38.5142626289499	12.1163694970408	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6271	114.13686956784	310.722795863866	72.9777266488566	435.282219418928	-2002.98957217652	-30.4016093380016	-2033.39118151452	98.0558070861595	61.4649153415253	38.3287734783803	17.2064359132621	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6281	119.319792753373	324.832630740661	89.4110484041694	533.300246213546	-2003.17767204948	-30.4016093380016	-2033.57928138748	98.0558070861595	58.8010463420085	38.3287734783803	14.0490459301004	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6291	119.107844541413	324.255629275246	73.0045861832458	435.442425529455	-2002.99700688646	-30.4016093380016	-2033.39861622446	98.0558070861595	58.905445261529	38.3287734783803	17.2001178213766	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6301	132.343090847947	360.286867488492	75.8364060829559	452.333070217135	-2003.4066220148	-30.4016093380016	-2033.8082313528	98.0558070861595	53.0264175443136	38.3287734783803	16.5590590872204	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6311	113.847550144217	309.935161328714	68.1487364105339	412.435110806604	-2002.7436790327	-30.4016093380016	-2033.1452883707	98.0558070861595	61.6207476814839	37.85376796276	18.0071151445374	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6321	121.04289040823	329.523540197797	50.8172443400034	307.545185783018	-2002.57822049531	-30.4016093380016	-2032.97982983331	98.0558070861595	57.9658418098113	37.85376796276	24.1314479803011	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6331	126.692177635676	344.902990576944	42.312761897077	256.076188066444	-2002.58365993847	-30.4016093380016	-2032.98526927647	98.0558070861595	55.3865761728521	37.85376796276	28.9654504270946	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
6341	113.702137352954	309.539293900189	43.8027783458067	265.093744832772	-2002.67378617759	-30.4016093380016	-2033.07539551559	98.0558070861595	61.6993682248618	37.85376796276	27.9833271430124	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
