gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration
5680	78.3607350348439	148.638889206674	1.14295135739749	21.0848710316648	-2038.35100262526	-30.4016093380016	-2068.75261196326	125.998747281128	132.078544170313	12.289409256264	119.949024100771
5690	68.3635153254832	129.675621032968	1.00726108972813	19.7325851942696	-2040.34412153918	-30.4016093380016	-2070.74573087718	125.998747281128	151.296167136527	11.6074467941329	121.411231206802
5700	72.7558863126598	138.007308379025	1.03299738405576	18.6479206657583	-2038.87112862781	-30.4016093380016	-2069.27273796581	125.998747281128	142.205346330566	12.5445199365066	137.362905858528
5710	81.3233339930808	154.2585074775	1.27439953800705	21.5865791775541	-2037.81107551563	-30.4016093380016	-2068.21268485363	125.998747281128	127.287277223019	13.3232741186496	126.011996711293
5720	74.0556868334616	140.472840453429	1.21805596357858	21.1360953760283	-2038.46370433382	-30.4016093380016	-2068.86531367182	125.998747281128	139.72098645259	13.0229457944652	126.011996711293
5730	77.1199242251969	146.285252013511	1.24298463574534	21.5686656423128	-2038.14084822941	-30.4016093380016	-2068.54245756741	125.998747281128	134.194134671675	13.0229457944652	123.590898045122
5740	82.9888649440282	157.41777685365	1.53706628461543	23.8001035626722	-2038.2570441948	-30.4016093380016	-2068.6586535328	125.998747281128	124.743288821509	14.4988871981042	123.590898045122
5750	77.2824099083115	146.593463663637	1.10478993058442	20.4098556483318	-2038.2907907618	-30.4016093380016	-2068.6924000998	125.998747281128	133.913247174394	12.2728574092632	123.590898045122
5760	78.5309397474032	148.961742730206	1.30223898685015	20.953317478546	-2038.1137839167	-30.4016093380016	-2068.5153932547	125.998747281128	131.793535419451	13.9846761270816	135.313207901225
5770	78.5309397474032	148.961742730206	1.30223898685015	20.953317478546	-2038.1137839167	-30.4016093380016	-2068.5153932547	125.998747281128	131.793535419451	13.9846761270816	135.313207901225
